NO,KODE,Nama Prodi,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO,KAB / KOTA,Universitas,PROVINSI-1,PROVINSI-2,SITUS_WEB,Kelompok,Rasio Peminat,Kategori,Gaji Minimal,Gaji Maksimal,Prospek Kerja 1,Prospek Kerja 2,Prospek Kerja 3,Prospek Kerja 4,Hasil,Bidang Ilmu
11,13231011,PENDIDIKAN VOKASIONAL KONSTRUKSI BANGUNAN,Sarjana,22,115,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Pendidikan Teknik Arsitektur,"7,00",Sepi Peminat,Rp4.000.000,Rp7.000.000,Guru Teknik Gambar Bangunan,Asisten Arsitek,,,Cukup Potensial,Soshum
52,13231052,PENDIDIKAN VOKASIONAL SENI KULINER,Sarjana,20,465,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Pendidikan Vokasi & Seni,"5,93",Sepi Peminat,Rp3.500.000,Rp6.000.000,Guru Seni,Instruktur Pelatihan Seni,Seniman,,Sangat Potensial,Soshum
54,13231054,PENDIDIKAN VOKASIONAL TATA RIAS,Sarjana,20,309,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Tata Rias,"8,78",Sedang,Rp3.000.000,Rp5.500.000,Make-up Artist,Konsultan Kecantikan,Wirausaha ,,Sangat Potensial,Soshum
9,13231009,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,Sarjana,22,235,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Pendidikan Teknik Elektro,"2,78",Sepi Peminat,Rp4.000.000,Rp12.000.000,Guru Teknik Elektro,Teknisi Listrik Industri,Konsultan Teknik Listrik,Manajer Proyek Kelistrikan,Sangat Prospektif,Soshum
14,13231014,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRONIKA,Sarjana,16,88,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Pendidikan Teknik Elektro,"2,78",Sepi Peminat,Rp4.000.000,Rp12.000.000,Guru Teknik Elektro,Teknisi Listrik Industri,Konsultan Teknik Listrik,Manajer Proyek Kelistrikan,Sangat Prospektif,Soshum
10,13231010,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,24,121,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Pendidikan Teknik Mesin,"3,03",Sepi Peminat,Rp4.000.000,Rp11.000.000,Guru Teknik Mesin,Teknisi Mekanik,Desainer Teknik Mesin,Manajer Mekanik,Sangat Prospektif,Soshum
64,13231076,PERPUSTAKAAN DAN SAINS INFORMASI,Sarjana,16,280,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Perpustakaan & Informasi,"6,34",Sepi Peminat,Rp3.500.000,Rp6.000.000,Pustakawan,Pengelola Data Informasi ,Asriparis,,Sangat Potensial,Saintek
27,13231027,PSIKOLOGI,Sarjana,89,2076,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Psikologi & Sosial,"18,51",Ramai Peminat,Rp3.500.000,Rp6.500.000,Psikolog,Konselor,HRD,Peneliti Sosial,Sangat Prospektif,Saintek
17,13231017,REKAYASA KESELAMATAN KEBAKARAN,Sarjana,12,197,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Kesehatan & Keselamatan Kerja,"15,59",Sedang,Rp4.000.000,Rp7.000.000,Officer K3,Konsultan K3,Pengawas Lingkungan Kerja,,Sangat Potensial,Saintek
29,13231029,SASTRA INDONESIA,Sarjana,24,309,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Sastra Indonesia,"4,71",Sepi Peminat,Rp3.000.000,Rp5.500.000,Penulis,Guru Bahasa Indonesia,Penerjemah,,Sangat Potensial,Soshum
31,13231031,SASTRA INGGRIS,Sarjana,40,794,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Sastra Inggris,"7,40",Sedang,Rp3.500.000,Rp6.000.000,Penerjemah Inggris,Guru Bahasa Inggris,Penulis,Tour Guide,Sangat Prospektif,Soshum
72,13232070,SENI KULINER DAN PENGOLAHAN JASA MAKANAN,Sarjana Terapan,12,547,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Seni Kuliner,"45,58",Ramai Peminat,Rp3.500.000,Rp6.000.000,Chef,Konsultan Kuliner,Wirausaha ,,Sangat Potensial,Soshum
19,13231019,SISTEM DAN TEKNOLOGI INFORMASI,Sarjana,12,638,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Sistem Informasi & Teknologi Informasi,"11,95",Sedang,Rp4.000.000,Rp7.000.000,Analis SI,Pengembang Software,Konsultan TI,,Sangat Potensial,Soshum
43,13231043,SOSIOLOGI,Sarjana,16,382,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Sosiologi & Sosial,"4,45",Sepi Peminat,Rp3.500.000,Rp6.000.000,Peneliti Sosial  ,Konsultan LSM,Guru Sosiologi,,Sangat Potensial,Soshum
16,13231016,STATISTIKA,Sarjana,20,343,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Statistika & Data Science,"7,65",Sedang,Rp4.000.000,Rp7.000.000,Analis Data,Data Scientist,Statistik,Konsultan Riset,Sangat Prospektif,Soshum
18,13231018,TEKNIK MESIN,Sarjana,18,633,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Teknik Mesin,"6,81",Sepi Peminat,Rp6.000.000,Rp14.000.000,Insinyur Mesin,Teknisi,Operator,Mekanik,Sangat Prospektif,Saintek
20,13231020,TEKNOLOGI PENDIDIKAN,Sarjana,24,206,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Teknologi Pendidikan,"3,98",Sepi Peminat,Rp4.000.000,Rp10.000.000,Desainer Instruksional,Developer E-Learning,Konsultan Pendidikan Digital,,Sangat Potensial,Saintek
70,13232068,TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG,Sarjana Terapan,16,212,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Teknik Sipil & Lingkungan,"8,12",Sedang,Rp5.000.000,Rp9.000.000,Insinyut Sipil,Konsultan Konstruksi,Manajer Proyek,Pengelola Infrastruktur,Sangat Prospektif,Saintek
69,13232067,TEKNOLOGI REKAYASA MANUFAKTUR,Sarjana Terapan,12,179,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Teknik Manufaktur & Industri,"3,52",Sepi Peminat,Rp5.000.000,Rp14.000.000,Engineer Produksi,Quality Assurance Engineer,Supervisor Pabrik,Industrial Analyst,Sangat Prospektif,Saintek
68,13232066,TEKNOLOGI REKAYASA OTOMASI,Sarjana Terapan,20,221,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Teknik Otomasi & Elektronika,"6,53",Sepi Peminat,Rp6.000.000,Rp12.000.000,Insinyut Otomasi,Teknisi Otomasi,Konsultan Otomasi,Peneliti,Sangat Prospektif,Saintek
67,13232065,USAHA PERJALANAN WISATA,Sarjana Terapan,24,479,Tidak Ada,Kota Jakarta Timur,UNIVERSITAS NEGERI JAKARTA,Jakarta Raya,,http://penmaba.unj.ac.id/,Pariwisata & Manajemen,"7,74",Sedang,Rp3.500.000,Rp6.500.000,Staf Pemasaran Pariwisata,Tour Guide,Manajer Hotel,,Sangat Potensial,Soshum
28,13243026,AKUNTANSI,Diploma Tiga,24,221,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Akuntansi & Keuangan,"10,10",Sedang,Rp4.000.000,Rp8.000.000,Akuntan,Analisis Finansial,Staf Akuntansi,Auditor,Sangat Prospektif,Soshum
14,13241014,AKUNTANSI,Sarjana,63,1354,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Akuntansi & Keuangan,"10,10",Sedang,Rp4.000.000,Rp8.000.000,Akuntan,Analisis Finansial,Staf Akuntansi,Auditor,Sangat Prospektif,Soshum
18,13241018,EKONOMI PEMBANGUNAN,Sarjana,24,579,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Ekonomi & Studi Pembangunan,"5,84",Sepi Peminat,Rp4.000.000,Rp8.000.000,Ekonom,Analis Kebijakan Publik,Staf Perencanaan Pembangunan,,Sangat Potensial,Soshum
19,13241019,EKONOMI SYARIAH,Sarjana,24,432,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Ekonomi Syariah & Islam,"5,51",Sepi Peminat,Rp4.000.000,Rp7.000.000,Staf Keuangan Bank Syariah,Analis Produk Keuangan Syariah,,,Cukup Potensial,Soshum
11,13241011,FARMASI,Sarjana,12,805,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Farmasi & Kesehatan,"25,28",Ramai Peminat,Rp4.000.000,Rp8.000.000,Apoteker,Tenaga Medis Kefarmasian,Staf BPOM,Medical Representative,Sangat Prospektif,Saintek
25,13243022,FISIOTERAPI,Diploma Tiga,14,132,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Kesehatan & Rehabilitasi,"8,95",Sedang,Rp3.500.000,Rp6.000.000,Terapis,Staf Rehabilitasi Medis,Konsultan Alat Bantu Medis,,Sangat Potensial,Saintek
12,13241012,FISIOTERAPI,Sarjana,14,324,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Kesehatan & Rehabilitasi,"8,95",Sedang,Rp3.500.000,Rp6.000.000,Terapis,Staf Rehabilitasi Medis,Konsultan Alat Bantu Medis,,Sangat Potensial,Saintek
9,13241009,GIZI,Sarjana,28,744,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Gizi & Kesehatan,"18,35",Ramai Peminat,Rp4.000.000,Rp7.000.000,Ahli Gizi,Nutrisionis,Konsultan Diet,,Sangat Potensial,Saintek
15,13241015,HUBUNGAN INTERNASIONAL,Sarjana,48,819,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Hubungan Internasional & Politik,"12,18",Sedang,Rp4.000.000,Rp7.000.000,Diplomat,Analis Politik,Jurnalis,,Sangat Potensial,Soshum
17,13241017,HUKUM,Sarjana,96,1196,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Hukum & Sosial Politik,"6,92",Sepi Peminat,Rp4.000.000,Rp7.000.000,Pengacara,Konsultan Hukum,Analis Kebijakan Publik,,Sangat Potensial,Soshum
16,13241016,ILMU KOMUNIKASI,Sarjana,72,1864,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Ilmu Komunikasi & Media,"16,38",Ramai Peminat,Rp3.500.000,Rp6.500.000,Public Relations Officer,Jurnalis,Content Creator,Event Organizer,Sangat Prospektif,Soshum
20,13241020,ILMU POLITIK,Sarjana,40,588,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Ilmu Politik & Sosial,"5,57",Sepi Peminat,Rp3.500.000,Rp6.500.000,Analis Politik,Peneliti Sosial,Staf LSM,,Sangat Potensial,Soshum
4,13241004,INFORMATIKA,Sarjana,42,1022,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Teknik Informatika & Ilmu Komputer,"16,40",Ramai Peminat,Rp5.000.000,Rp10.000.000,Pengembang Software,Konsultan TI,Pengembang Web,Analis Data,Sangat Prospektif,Saintek
22,13241029,"KAJIAN FILM, TELEVISI, DAN MEDIA",Sarjana,8,0,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Komunikasi & Media,"8,19",Sedang,Rp3.500.000,Rp6.500.000,Public Relations Officer,Content Creator,Jurnalis,,Sangat Potensial,Soshum
6,13241006,KEDOKTERAN,Sarjana,41,1065,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Kedokteran,"22,63",Ramai Peminat,Rp8.000.000,Rp15.000.000,Dokter Umum,Dokter Spesialis,Tenaga Kesehatan,,Sangat Potensial,Saintek
24,13243021,KEPERAWATAN,Diploma Tiga,14,261,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Kesehatan & Keperawatan,"18,89",Ramai Peminat,Rp3.500.000,Rp6.500.000,Perawat,Konsultan Kesehatan,Tenaga Kesehatan,,Sangat Potensial,Saintek
7,13241007,KEPERAWATAN,Sarjana,28,1026,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Kesehatan & Keperawatan,"18,89",Ramai Peminat,Rp3.500.000,Rp6.500.000,Perawat,Konsultan Kesehatan,Tenaga Kesehatan,,Sangat Potensial,Saintek
8,13241008,KESEHATAN MASYARAKAT,Sarjana,42,1006,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Kesehatan Masyarakat & Lingkungan,"13,06",Sedang,Rp3.500.000,Rp6.500.000,Staf Kesehatan Masyarakat,Analis Lingkungan Kesehatan,,,Cukup Potensial,Soshum
13,13241013,MANAJEMEN,Sarjana,64,1996,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Manajemen & Bisnis,"15,97",Sedang,Rp4.000.000,Rp7.000.000,Manajemen,Analis Bisnis,Konsultan Manajemen,,Sangat Potensial,Soshum
27,13243025,PERBANKAN DAN KEUANGAN,Diploma Tiga,24,283,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Keuangan & Perbankan,"4,19",Sepi Peminat,Rp4.000.000,Rp7.000.000,Staf Bank,Analis Kredit,Teller,Staf Manajemen Risiko,Sangat Prospektif,Soshum
23,13241030,SAINS DATA,Sarjana,7,0,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Statistika & Data Science,"7,65",Sedang,Rp4.000.000,Rp7.000.000,Analis Data,Data Scientist,Statistik,Konsultan Riset,Sangat Prospektif,Soshum
21,13241028,SAINS INFORMASI,Sarjana,24,340,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Teknologi Informasi & Komputer,"12,96",Sedang,Rp5.000.000,Rp12.000.000,Software Developer,Network Engineer,Data Analyst,Cybersecurity Analyst,Sangat Prospektif,Saintek
26,13243024,SISTEM INFORMASI,Diploma Tiga,28,175,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Sistem Informasi & Teknologi Informasi,"11,95",Sedang,Rp4.000.000,Rp7.000.000,Analis SI,Pengembang Software,Konsultan TI,,Sangat Potensial,Soshum
5,13241005,SISTEM INFORMASI,Sarjana,42,1266,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Sistem Informasi & Teknologi Informasi,"11,95",Sedang,Rp4.000.000,Rp7.000.000,Analis SI,Pengembang Software,Konsultan TI,,Sangat Potensial,Soshum
10,13241010,TEKNIK ELEKTRO,Sarjana,21,447,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Teknik Elektro & Elektronika,"5,96",Sepi Peminat,Rp7.000.000,Rp12.000.000,Insinyur Listrik,Insinyul Eklektronika,Software Engineer,Desainer Sistem Otomasi,Sangat Prospektif,Saintek
3,13241003,TEKNIK INDUSTRI,Sarjana,28,843,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Teknik Industri & Manajemen,"10,15",Sedang,Rp5.000.000,Rp10.000.000,Insinyur Industri,Manajer Proyek,Analis Produk,Spesialis Logistik,Sangat Prospektif,Saintek
1,13241001,TEKNIK MESIN,Sarjana,28,448,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Teknik Mesin,"6,81",Sepi Peminat,Rp6.000.000,Rp14.000.000,Insinyur Mesin,Teknisi,Operator,Mekanik,Sangat Prospektif,Saintek
2,13241002,TEKNIK PERKAPALAN,Sarjana,14,192,Tidak Ada,Kota Jakarta Selatan,"UPN ""VETERAN"" JAKARTA",Jakarta Raya,,https://penmaru.upnvj.ac.id/,Teknik Perkapalan & Kelautan,"4,94",Sepi Peminat,Rp5.000.000,Rp10.000.000,Insinyut Perkapalan,Teknisi Kelautan,Desainer Kapal,Konsultan Maritim,Sangat Prospektif,Saintek
50,11511054,ADMINISTRASI PENDIDIKAN,Sarjana,25,155,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Administrasi Pendidikan,"6,27",Sepi Peminat,Rp3.000.000,Rp5.000.000,Staf Tata Usaha Sekolah / Kampus,Administrator Pendidikan,,,Cukup Potensial,Soshum
6,11511006,AGRIBISNIS,Sarjana,68,306,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
60,11513061,AGROBISNIS,Diploma Tiga,10,6,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
5,11511005,AGROEKOTEKNOLOGI,Sarjana,75,237,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
59,11513060,AKUNTANSI,Diploma Tiga,20,18,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Akuntansi & Keuangan,"10,10",Sedang,Rp4.000.000,Rp8.000.000,Akuntan,Analisis Finansial,Staf Akuntansi,Auditor,Sangat Prospektif,Soshum
37,11511041,AKUNTANSI,Sarjana,55,673,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Akuntansi & Keuangan,"10,10",Sedang,Rp4.000.000,Rp8.000.000,Akuntan,Analisis Finansial,Staf Akuntansi,Auditor,Sangat Prospektif,Soshum
63,11513064,ANALIS KIMIA,Diploma Tiga,9,13,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Kimia & Sains Terapan,"4,76",Sepi Peminat,Rp4.000.000,Rp7.000.000,Analis Laboratorium  ,Quality Control,Peneliti Bahan Baku,Analis Kimia,Sangat Prospektif,Soshum
47,11511051,ARKEOLOGI,Sarjana,15,44,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Sejarah & Sosial Budaya,"4,38",Sepi Peminat,Rp3.000.000,Rp5.500.000,Peneliti Sejarah,Pemandu Wisata Sejarah,Guru Sejarah,,Sangat Potensial,Soshum
39,11511043,BIMBINGAN DAN KONSELING,Sarjana,30,328,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Bimbingan & Konseling,"12,85",Sedang,Rp3.000.000,Rp5.000.000,Guru BK,Konselor Keluagra dan Remaja,Staf HRD,,Sangat Potensial,Soshum
19,11511023,BIOLOGI,Sarjana,26,61,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Biologi & Sains Hayati,"4,23",Sepi Peminat,Rp3.000.000,Rp6.000.000,Peneliti Biologi,Analisis Laboratorium,Dosen,,Sangat Potensial,Saintek
53,11511059,BISNIS DIGITAL,Sarjana,22,189,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Bisnis Digital & Teknologi,"13,69",Sedang,Rp4.000.000,Rp8.000.000,Digital Business Analyst,Digital Marketing,,,Cukup Potensial,Saintek
46,11511050,EKONOMI ISLAM,Sarjana,47,131,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Ekonomi Syariah & Islam,"5,51",Sepi Peminat,Rp4.000.000,Rp7.000.000,Staf Keuangan Bank Syariah,Analis Produk Keuangan Syariah,,,Cukup Potensial,Soshum
14,11511018,FARMASI,Sarjana,24,768,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Farmasi & Kesehatan,"25,28",Ramai Peminat,Rp4.000.000,Rp8.000.000,Apoteker,Tenaga Medis Kefarmasian,Staf BPOM,Medical Representative,Sangat Prospektif,Saintek
20,11511024,FISIKA,Sarjana,19,23,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Fisika & Sains Dasar,"2,12",Sepi Peminat,Rp3.800.000,Rp8.000.000,Peneliti,Data Analyst,,,Cukup Potensial,Saintek
35,11511039,ILMU EKONOMI PEMBANGUNAN,Sarjana,55,282,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Ekonomi & Studi Pembangunan,"5,84",Sepi Peminat,Rp4.000.000,Rp8.000.000,Ekonom,Analis Kebijakan Publik,Staf Perencanaan Pembangunan,,Sangat Potensial,Soshum
34,11511038,ILMU HUKUM,Sarjana,132,909,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Hukum & Sosial Politik,"6,92",Sepi Peminat,Rp4.000.000,Rp7.000.000,Pengacara,Konsultan Hukum,Analis Kebijakan Publik,,Sangat Potensial,Soshum
13,11511017,ILMU KEPERAWATAN,Sarjana,47,508,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Kesehatan & Keperawatan,"18,89",Ramai Peminat,Rp3.500.000,Rp6.500.000,Perawat,Konsultan Kesehatan,Tenaga Kesehatan,,Sangat Potensial,Saintek
22,11511026,ILMU KESEHATAN MASYARAKAT,Sarjana,82,630,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Kesehatan Masyarakat & Lingkungan,"13,06",Sedang,Rp3.500.000,Rp6.500.000,Staf Kesehatan Masyarakat,Analis Lingkungan Kesehatan,,,Cukup Potensial,Soshum
45,11511049,ILMU PEMERINTAHAN,Sarjana,37,281,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Ilmu Pemerintahan & Sosial,"6,69",Sepi Peminat,Rp3.500.000,Rp6.500.000,Staf Administrasi Pemerintahan,Analis Kebijakan Publik,,,Cukup Potensial,Soshum
51,11511055,ILMU POLITIK,Sarjana,32,96,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Ilmu Politik & Sosial,"5,57",Sepi Peminat,Rp3.500.000,Rp6.500.000,Analis Politik,Peneliti Sosial,Staf LSM,,Sangat Potensial,Soshum
49,11511053,ILMU SEJARAH,Sarjana,20,64,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Sejarah & Sosial Budaya,"4,38",Sepi Peminat,Rp3.000.000,Rp5.500.000,Peneliti Sejarah,Pemandu Wisata Sejarah,Guru Sejarah,,Sangat Potensial,Soshum
55,11511069,INFORMATIKA,Sarjana,17,313,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Teknik Informatika & Ilmu Komputer,"16,40",Ramai Peminat,Rp5.000.000,Rp10.000.000,Pengembang Software,Konsultan TI,Pengembang Web,Analis Data,Sangat Prospektif,Saintek
11,11511011,KEDOKTERAN,Sarjana,38,872,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Kedokteran,"22,63",Ramai Peminat,Rp8.000.000,Rp15.000.000,Dokter Umum,Dokter Spesialis,Tenaga Kesehatan,,Sangat Potensial,Saintek
9,11511009,KEHUTANAN,Sarjana,37,164,Tidak Ada,Kabupaten Muaro Jambi,UNIVERSITAS JAMBI,Jambi,,https://regis.unja.ac.id/,Kehutanan & Lingkungan,"4,00",Sepi Peminat,Rp4.500.000,Rp11.000.000,Rimbawan,Peneliti Konservasi,Petugas Taman Nasional,Konsultan Lingkungan,Sangat Prospektif,Soshum
